project,timeing,tests,failed,error,skipped,mode
graphhopper-sub-tools,18.0,1,0,0,0,baseTime
graphhopper-sub-web,18.0,5,0,0,0,baseTime
graphhopper-sub-core,7.2,14,0,0,0,ekstaziAEC
graphhopper-sub-core,16.02,679,0,0,0,baseTime
graphhopper-sub-tools,16.02,1,0,0,0,baseTime
graphhopper-sub-web,16.02,5,0,0,0,baseTime
graphhopper-sub-core,8.68,23,0,0,0,ekstaziAEC
graphhopper-sub-core,15.85,676,0,0,0,baseTime
graphhopper-sub-tools,15.85,1,0,0,0,baseTime
graphhopper-sub-web,15.85,5,0,0,0,baseTime
graphhopper-sub-core,15.11,453,0,0,0,ekstaziAEC
graphhopper-sub-core,18.72,676,0,0,0,baseTime
graphhopper-sub-tools,18.72,1,0,0,0,baseTime
graphhopper-sub-web,18.72,5,0,0,0,baseTime
graphhopper-surefireNotFound,7.16,0,0,0,0,ekstaziAEC
graphhopper-sub-core,18.52,679,0,0,0,baseTime
graphhopper-sub-tools,18.52,1,0,0,0,baseTime
graphhopper-sub-web,18.52,5,0,0,0,baseTime
graphhopper-sub-core,14.51,460,0,0,0,ekstaziAEC
graphhopper-sub-core,16.71,679,0,0,0,baseTime
graphhopper-sub-tools,16.71,1,0,0,0,baseTime
graphhopper-sub-web,16.71,5,0,0,0,baseTime
graphhopper-surefireNotFound,7.33,0,0,0,0,ekstaziAEC
graphhopper-sub-core,18.95,679,0,0,0,baseTime
graphhopper-sub-tools,18.95,1,0,0,0,baseTime
graphhopper-sub-web,18.95,5,0,0,0,baseTime
graphhopper-surefireNotFound,7.22,0,0,0,0,ekstaziAEC
graphhopper-sub-core,14.8,687,0,0,0,baseTime
graphhopper-sub-tools,14.8,1,0,0,0,baseTime
graphhopper-sub-web,14.8,5,0,0,0,baseTime
graphhopper-sub-core,13.77,468,0,0,0,ekstaziAEC
graphhopper-sub-core,19.47,687,0,0,0,baseTime
graphhopper-sub-tools,19.47,1,0,0,0,baseTime
graphhopper-sub-web,19.47,5,0,0,0,baseTime
graphhopper-sub-core,8.46,58,0,0,0,ekstaziAEC
gs-collections-sub-collections-testutils,87.47,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,87.47,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,87.47,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,87.47,1078,0,0,0,baseTime
gs-collections-sub-unit-tests,87.47,63482,0,0,14,baseTime
gs-collections-sub-collections-testutils,131.78,139,0,0,0,ekstaziAEC
gs-collections-sub-gs-collections-forkjoin,131.78,24,0,0,0,ekstaziAEC
gs-collections-sub-scala-unit-tests,131.78,1150,0,0,1,ekstaziAEC
gs-collections-sub-serialization-tests,131.78,151,0,0,0,ekstaziAEC
gs-collections-sub-unit-tests,131.78,63482,0,0,14,ekstaziAEC
gs-collections-sub-collections-testutils,87.79,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,87.79,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,87.79,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,87.79,1078,0,0,0,baseTime
gs-collections-sub-unit-tests,87.79,63482,0,0,14,baseTime
gs-collections-surefireNotFound,77.47,0,0,0,0,ekstaziAEC
gs-collections-sub-collections-testutils,88.7,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,88.7,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,88.7,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,88.7,1078,0,0,0,baseTime
gs-collections-sub-unit-tests,88.7,63482,0,0,14,baseTime
gs-collections-surefireNotFound,78.63,0,0,0,0,ekstaziAEC
gs-collections-sub-collections-testutils,83.84,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,83.84,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,83.84,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,83.84,1078,0,0,0,baseTime
gs-collections-sub-unit-tests,83.84,63482,0,0,14,baseTime
gs-collections-surefireNotFound,69.78,0,0,0,0,ekstaziAEC
gs-collections-sub-collections-testutils,89.31,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,89.31,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,89.31,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,89.31,1078,0,0,0,baseTime
gs-collections-sub-unit-tests,89.31,63482,0,0,14,baseTime
gs-collections-surefireNotFound,89.45,0,0,0,0,ekstaziAEC
gs-collections-sub-collections-testutils,121.08,139,0,0,0,baseTime
